1|City Council Meeting|5|2023-11-15 09:00|2023-11-15 12:00|0|0|50
2|Tech Conference|7|2023-11-20 09:00|2023-11-20 17:00|1|1|200
3|Community Wedding|2|2023-11-25 14:00|2023-11-25 22:00|2|0|150
4|Charity Gala|4|2023-11-30 18:00|2023-11-30 23:00|3|1|300
5|Small Business Meeting|6|2023-12-05 10:00|2023-12-05 12:00|0|0|30
6|Holiday Dance|9|2023-12-15 19:00|2023-12-15 23:00|3|1|250
7|New Year's Celebration|3|2023-12-31 20:00|2024-01-01 02:00|3|1|500
8|Job Fair|7|2024-01-15 10:00|2024-01-15 16:00|1|1|200
9|Art Exhibition|8|2024-01-20 09:00|2024-01-22 18:00|1|1|150
10|Community Workshop|5|2024-02-01 13:00|2024-02-01 17:00|0|1|75
